Punkt_Fl_Norm1;Punkt_Fl_Norm2;Frame_Xvek;Frame_Yvek;Frame_Zvek;hit_fraction
-1.000000000000009 -4.097687327875434e-16 4.371138752134584e-08;-7.771563684437517e-15 1.598405235400975e-15 1.000000000000229;0.7036318006741596 0.7105647676883787 9.982899382470298e-17;-0.411578993724257 0.4075632252581133 -0.8151655962699433;-0.579227952541111 0.5735764363510453 0.5792279781380278;0.0007495331393617131
-1.000000000000009 -4.097687327875434e-16 4.371138752134584e-08;-7.771563684437517e-15 1.598405235400975e-15 1.000000000000229;0.7036318006741596 0.7105647676883787 9.982899382470298e-17;-0.411578993724257 0.4075632252581133 -0.8151655962699433;-0.579227952541111 0.5735764363510453 0.5792279781380278;0.0007495331393617131
-1.000000000000009 -4.097687327875434e-16 4.371138752134584e-08;-7.771563684437517e-15 1.598405235400975e-15 1.000000000000229;0.7036318006741596 0.7105647676883787 9.982899382470298e-17;-0.411578993724257 0.4075632252581133 -0.8151655962699433;-0.579227952541111 0.5735764363510453 0.5792279781380278;0.0007495331393617131
-1.000000000000009 -4.097687327875434e-16 4.371138752134584e-08;-7.771563684437517e-15 1.598405235400975e-15 1.000000000000229;0.7036318006741596 0.7105647676883787 9.982899382470298e-17;-0.411578993724257 0.4075632252581133 -0.8151655962699433;-0.579227952541111 0.5735764363510453 0.5792279781380278;0.0007495331393617131
-1.000000000000009 -4.097687327875434e-16 4.371138752134584e-08;-7.771563684437517e-15 1.598405235400975e-15 1.000000000000229;0.7036318006741596 0.7105647676883787 9.982899382470298e-17;-0.411578993724257 0.4075632252581133 -0.8151655962699433;-0.579227952541111 0.5735764363510453 0.5792279781380278;0.0007495331393617131
-1.000000000000009 -4.097687327875434e-16 4.371138752134584e-08;-7.771563684437517e-15 1.598405235400975e-15 1.000000000000229;0.7036318006741596 0.7105647676883787 9.982899382470298e-17;-0.411578993724257 0.4075632252581133 -0.8151655962699433;-0.579227952541111 0.5735764363510453 0.5792279781380278;3.717558271934098e-05
-1.000000000000009 -4.097687327875434e-16 4.371138752134584e-08;-7.771563684437517e-15 1.598405235400975e-15 1.000000000000229;0.7036318006741596 0.7105647676883787 9.982899382470298e-17;-0.411578993724257 0.4075632252581133 -0.8151655962699433;-0.579227952541111 0.5735764363510453 0.5792279781380278;0.00017980459001541786
-1.000000000000009 -4.097687327875434e-16 4.371138752134584e-08;-7.771563684437517e-15 1.598405235400975e-15 1.000000000000229;0.7036318006741596 0.7105647676883787 9.982899382470298e-17;-0.411578993724257 0.4075632252581133 -0.8151655962699433;-0.579227952541111 0.5735764363510453 0.5792279781380278;0.0001746186586732443
-1.000000000000009 -4.097687327875434e-16 4.371138752134584e-08;-7.771563684437517e-15 1.598405235400975e-15 1.000000000000229;0.7036318006741596 0.7105647676883787 9.982899382470298e-17;-0.411578993724257 0.4075632252581133 -0.8151655962699433;-0.579227952541111 0.5735764363510453 0.5792279781380278;0.0
-1.000000000000009 -4.097687327875434e-16 4.371138752134584e-08;-7.771563684437517e-15 1.598405235400975e-15 1.000000000000229;0.7036318006741596 0.7105647676883787 9.982899382470298e-17;-0.411578993724257 0.4075632252581133 -0.8151655962699433;-0.579227952541111 0.5735764363510453 0.5792279781380278;0.0
